period,granularity,auc,n_loans,default_rate,auc_rolling3
2012-01-01,month,0.7301,82,0.3171,0.7301
2012-02-01,month,0.6791,110,0.2273,0.7046
2012-03-01,month,0.7887,85,0.2235,0.7326
2012-04-01,month,0.743,105,0.2667,0.7369
2012-05-01,month,0.6458,110,0.2182,0.7258
2012-06-01,month,0.6269,157,0.293,0.6719
2012-07-01,month,0.6707,169,0.2426,0.6478
2012-08-01,month,0.6816,182,0.2637,0.6597
2012-09-01,month,0.7124,229,0.2445,0.6882
2012-10-01,month,0.6385,289,0.2526,0.6775
2012-11-01,month,0.6337,581,0.222,0.6615
2012-12-01,month,0.6768,562,0.2011,0.6497
2013-01-01,month,0.7246,101,0.1881,0.6784
2013-02-01,month,0.7496,110,0.1727,0.717
2013-03-01,month,0.6616,117,0.1538,0.7119
2013-04-01,month,0.6352,151,0.2318,0.6821
2013-05-01,month,0.6811,173,0.2659,0.6593
2013-06-01,month,0.6639,190,0.2842,0.6601
2013-07-01,month,0.7821,205,0.1902,0.709
2013-08-01,month,0.7168,218,0.211,0.7209
2013-09-01,month,0.6848,280,0.2107,0.7279
2013-10-01,month,0.6896,387,0.2041,0.6971
2013-11-01,month,0.6981,434,0.2281,0.6908
2013-12-01,month,0.6926,434,0.2281,0.6934
2014-01-01,month,0.7309,385,0.2104,0.7072
2014-02-01,month,0.7132,382,0.2408,0.7122
2014-03-01,month,0.6766,484,0.2397,0.7069
2014-04-01,month,0.694,329,0.2128,0.6946
2014-05-01,month,0.72,241,0.2365,0.6969
2014-06-01,month,0.7646,241,0.2656,0.7262
2014-07-01,month,0.7376,407,0.2236,0.7407
2014-08-01,month,0.7423,301,0.3056,0.7482
2014-09-01,month,0.698,211,0.2654,0.726
2014-10-01,month,0.7336,624,0.2804,0.7246
2014-11-01,month,0.6981,432,0.2477,0.7099
2014-12-01,month,0.685,163,0.2454,0.7056
2015-01-01,month,0.7049,1547,0.2612,0.696
2015-02-01,month,0.7228,333,0.2613,0.7042
2015-03-01,month,0.6782,363,0.2727,0.702
2015-04-01,month,0.7091,483,0.2836,0.7034
2015-05-01,month,0.7145,467,0.2484,0.7006
2015-06-01,month,0.7476,397,0.272,0.7237
2015-07-01,month,0.7163,603,0.2521,0.7261
2015-08-01,month,0.7356,529,0.2987,0.7332
2015-09-01,month,0.6898,385,0.2545,0.7139
2015-10-01,month,0.7224,684,0.2924,0.7159
2015-11-01,month,0.728,472,0.2733,0.7134
2015-12-01,month,0.7139,682,0.324,0.7214
2016-01-01,month,0.7255,1489,0.2471,0.7225
2016-02-01,month,0.715,562,0.2527,0.7181
2016-03-01,month,0.7268,2014,0.2686,0.7224
2016-04-01,month,0.7302,993,0.2749,0.724
2016-05-01,month,0.697,839,0.2598,0.718
2016-06-01,month,0.6824,968,0.3027,0.7032
2016-07-01,month,0.7057,1283,0.279,0.695
2016-08-01,month,0.7305,857,0.259,0.7062
2016-09-01,month,0.7039,660,0.2394,0.7134
2016-10-01,month,0.7326,803,0.2379,0.7223
2016-11-01,month,0.7342,766,0.2389,0.7236
2016-12-01,month,0.7091,1224,0.2418,0.7253
2017-01-01,month,0.6961,859,0.2282,0.7131
2017-02-01,month,0.7066,796,0.1972,0.7039
2017-03-01,month,0.7368,1145,0.2192,0.7132
2017-04-01,month,0.7214,472,0.2267,0.7216
2017-05-01,month,0.7205,609,0.1757,0.7262
2017-06-01,month,0.6965,1662,0.1847,0.7128
2017-07-01,month,0.7269,1018,0.1945,0.7146
2017-08-01,month,0.6955,852,0.1655,0.7063
2017-09-01,month,0.6839,930,0.2043,0.7021
2017-10-01,month,0.7201,964,0.1888,0.6998
2017-11-01,month,0.6612,948,0.1456,0.6884
2017-12-01,month,0.697,795,0.1208,0.6928
2018-01-01,month,0.7274,1333,0.099,0.6952
2018-02-01,month,0.707,525,0.1276,0.7105
2018-03-01,month,0.7211,640,0.1016,0.7185
2018-04-01,month,0.6793,1484,0.1011,0.7025
2018-05-01,month,0.6295,633,0.0758,0.6766
2018-06-01,month,0.713,593,0.0894,0.6739
2018-07-01,month,0.6467,744,0.0591,0.6631
2018-08-01,month,0.6696,927,0.0669,0.6764
2018-09-01,month,0.6418,1001,0.044,0.6527
2018-10-01,month,0.6619,629,0.0397,0.6578
2018-11-01,month,0.6496,565,0.0248,0.6511
2018-12-01,month,0.7009,885,0.0113,0.6708
2012-01-01,quarter,0.7303,277,0.2527,0.7301
2012-04-01,quarter,0.6693,372,0.2634,0.7369
2012-07-01,quarter,0.6912,580,0.25,0.6478
2012-10-01,quarter,0.6519,1432,0.22,0.6775
2013-01-01,quarter,0.713,328,0.1707,0.6784
2013-04-01,quarter,0.6631,514,0.2626,0.6821
2013-07-01,quarter,0.7234,703,0.2048,0.709
2013-10-01,quarter,0.6925,1255,0.2207,0.6971
2014-01-01,quarter,0.7046,1251,0.231,0.7072
2014-04-01,quarter,0.719,811,0.2355,0.6946
2014-07-01,quarter,0.733,919,0.2601,0.7407
2014-10-01,quarter,0.7156,1219,0.2642,0.7246
2015-01-01,quarter,0.7025,2243,0.263,0.696
2015-04-01,quarter,0.7206,1347,0.268,0.7034
2015-07-01,quarter,0.7168,1517,0.269,0.7261
2015-10-01,quarter,0.7211,1838,0.2992,0.7159
2016-01-01,quarter,0.7244,4065,0.2585,0.7225
2016-04-01,quarter,0.7034,2800,0.28,0.724
2016-07-01,quarter,0.7129,2800,0.2636,0.695
2016-10-01,quarter,0.7224,2793,0.2399,0.7223
2017-01-01,quarter,0.7165,2800,0.2157,0.7131
2017-04-01,quarter,0.7059,2743,0.1899,0.7216
2017-07-01,quarter,0.7061,2800,0.1889,0.7146
2017-10-01,quarter,0.6972,2707,0.1537,0.6998
2018-01-01,quarter,0.7213,2498,0.1057,0.6952
2018-04-01,quarter,0.6693,2710,0.0926,0.7025
2018-07-01,quarter,0.6555,2672,0.0561,0.6631
2018-10-01,quarter,0.693,2079,0.0236,0.6578
