period,n_loans,default_rate,avg_loan_amnt
2012-01-01,82,0.3170731707317073,17088.414634146342
2012-02-01,110,0.22727272727272727,17426.136363636364
2012-03-01,85,0.2235294117647059,17246.764705882353
2012-04-01,105,0.26666666666666666,18347.14285714286
2012-05-01,110,0.21818181818181817,16466.590909090908
2012-06-01,157,0.2929936305732484,19024.36305732484
2012-07-01,169,0.24260355029585798,16877.958579881655
2012-08-01,182,0.26373626373626374,18473.763736263736
2012-09-01,229,0.2445414847161572,16623.689956331877
2012-10-01,289,0.25259515570934254,17606.314878892732
2012-11-01,581,0.22203098106712565,17817.986230636834
2012-12-01,562,0.20106761565836298,17140.52491103203
2013-01-01,101,0.18811881188118812,16365.841584158416
2013-02-01,110,0.17272727272727273,17864.090909090908
2013-03-01,117,0.15384615384615385,17846.79487179487
2013-04-01,151,0.23178807947019867,16957.119205298015
2013-05-01,173,0.2658959537572254,17703.034682080925
2013-06-01,190,0.28421052631578947,16852.236842105263
2013-07-01,205,0.1902439024390244,15014.268292682927
2013-08-01,218,0.21100917431192662,16541.743119266055
2013-09-01,280,0.21071428571428572,17755.178571428572
2013-10-01,387,0.2041343669250646,16711.950904392765
2013-11-01,434,0.22811059907834103,15805.81797235023
2013-12-01,434,0.22811059907834103,16408.23732718894
2014-01-01,385,0.21038961038961038,16257.467532467532
2014-02-01,382,0.24083769633507854,16271.531413612565
2014-03-01,484,0.2396694214876033,16461.053719008265
2014-04-01,329,0.2127659574468085,15953.72340425532
2014-05-01,241,0.23651452282157676,15502.80082987552
2014-06-01,241,0.26556016597510373,16344.709543568464
2014-07-01,407,0.22358722358722358,16042.137592137593
2014-08-01,301,0.30564784053156147,16859.05315614618
2014-09-01,211,0.26540284360189575,17564.57345971564
2014-10-01,624,0.28044871794871795,16437.17948717949
2014-11-01,432,0.24768518518518517,16258.159722222223
2014-12-01,163,0.24539877300613497,17467.17791411043
2015-01-01,1547,0.2611506140917906,16853.40982546865
2015-02-01,333,0.26126126126126126,16310.36036036036
2015-03-01,363,0.2727272727272727,17128.78787878788
2015-04-01,483,0.2836438923395445,17316.56314699793
2015-05-01,467,0.24839400428265523,16459.207708779442
2015-06-01,397,0.27204030226700254,16206.863979848866
2015-07-01,603,0.25207296849087896,16684.701492537315
2015-08-01,529,0.29867674858223064,17527.788279773158
2015-09-01,385,0.2545454545454545,17542.66233766234
2015-10-01,684,0.29239766081871343,17111.293859649122
2015-11-01,472,0.2733050847457627,16998.252118644068
2015-12-01,682,0.32404692082111436,16967.448680351907
2016-01-01,1489,0.24714573539288112,17377.50167897918
2016-02-01,562,0.2526690391459075,17647.33096085409
2016-03-01,2014,0.2686196623634558,16388.617179741806
2016-04-01,993,0.27492447129909364,15736.379657603222
2016-05-01,839,0.2598331346841478,16512.008343265792
2016-06-01,968,0.30268595041322316,17241.1673553719
2016-07-01,1283,0.2790335151987529,16516.387373343725
2016-08-01,857,0.2590431738623104,15882.147024504084
2016-09-01,660,0.23939393939393938,16295.984848484848
2016-10-01,803,0.23785803237858033,16353.580323785804
2016-11-01,766,0.23890339425587467,15883.257180156657
2016-12-01,1224,0.24183006535947713,16039.971405228758
2017-01-01,859,0.2281722933643772,16464.40628637951
2017-02-01,796,0.1972361809045226,16967.74497487437
2017-03-01,1145,0.21921397379912663,16198.29694323144
2017-04-01,472,0.2266949152542373,16271.66313559322
2017-05-01,609,0.17569786535303777,15813.300492610837
2017-06-01,1662,0.18471720818291215,16168.561973525873
2017-07-01,1018,0.1944990176817289,15916.453831041257
2017-08-01,852,0.16549295774647887,15408.7441314554
2017-09-01,930,0.20430107526881722,17169.220430107525
2017-10-01,964,0.1887966804979253,16989.08195020747
2017-11-01,948,0.14556962025316456,16889.556962025315
2017-12-01,795,0.12075471698113208,16363.647798742139
2018-01-01,1333,0.09902475618904726,16815.99774943736
2018-02-01,525,0.12761904761904763,17489.47619047619
2018-03-01,640,0.1015625,17976.875
2018-04-01,1484,0.10107816711590296,16536.62398921833
2018-05-01,633,0.07582938388625593,17112.875197472353
2018-06-01,593,0.0893760539629005,17296.922428330523
2018-07-01,744,0.05913978494623656,16267.842741935483
2018-08-01,927,0.0668824163969795,16818.17691477886
2018-09-01,1001,0.04395604395604396,16089.91008991009
2018-10-01,629,0.0397456279809221,16723.131955484896
2018-11-01,565,0.024778761061946902,15288.230088495575
2018-12-01,885,0.011299435028248588,14653.474576271186
